code,type,count,description,Group,Larger group
78841,Diagnosis,1363,Urinary frequency,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
5920,Diagnosis,1362,Calculus of kidney,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
4779,Diagnosis,1361,"Allergic rhinitis, cause unspecified",Diseases Of The Respiratory System,Diseases Of The Respiratory System
5070,Diagnosis,1354,Pneumonitis due to inhalation of food or vomitus,Diseases Of The Respiratory System,Diseases Of The Respiratory System
2662,Diagnosis,1342,Other B-complex deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7881,Diagnosis,1322,Dysuria,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
3659,Diagnosis,1290,Unspecified glaucoma,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
5855,Diagnosis,1288,"Chronic kidney disease, Stage V",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
2800,Diagnosis,1281,Iron deficiency anemia secondary to blood loss (chronic),Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
78830,Diagnosis,1276,"Urinary incontinence, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
2334,Diagnosis,1272,Carcinoma in situ of prostate,Neoplasms,Neoplasms
V700,Diagnosis,1266,Routine general medical examination at a health care facility,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V7651,Diagnosis,1264,Special screening for malignant neoplasms of colon,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
43820,Diagnosis,1243,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",Diseases Of The Circulatory System,Diseases Of The Circulatory System
7931,Diagnosis,1231,Nonspecific (abnormal) findings on radiological and other examination of lung field,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V6759,Diagnosis,1227,Other follow-up examination,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
49320,Diagnosis,1217,"Chronic obstructive asthma, unspecified",Diseases Of The Respiratory System,Diseases Of The Respiratory System
99591,Diagnosis,1215,Sepsis,Injury And Poisoning,"Injury, Poisoning & External Causes"
7210,Diagnosis,1212,Cervical spondylosis without myelopathy,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V5865,Diagnosis,1204,Long-term (current) use of steroids,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
490,Diagnosis,1202,"Bronchitis, not specified as acute or chronic",Diseases Of The Respiratory System,Diseases Of The Respiratory System
78703,Diagnosis,1187,Vomiting alone,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
4299,Diagnosis,1184,"Heart disease, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
2752,Diagnosis,1171,Disorders of magnesium metabolism,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
72989,Diagnosis,1168,Other musculoskeletal symptoms referable to limbs,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
9904,Procedure,1152,Transfusion of packed cells,Miscellaneous diagnostic and therapeutic procedures,Procedures & Surgeries
2900,Diagnosis,1150,"Senile dementia, uncomplicated",Mental Disorders,Mental Disorders
V1588,Diagnosis,1143,History of fall,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V053,Diagnosis,1132,Need for prophylactic vaccination and inoculation against viral hepatitis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
57420,Diagnosis,1128,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
V560,Diagnosis,1126,Encounter for extracorporeal dialysis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7993,Diagnosis,1126,"Debility, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
E9289,Diagnosis,1121,Unspecified accident,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
53550,Diagnosis,1117,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",Diseases Of The Digestive System,Diseases Of The Digestive System
586,Diagnosis,1117,"Renal failure, unspecified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
7224,Diagnosis,1109,Degeneration of cervical intervertebral disc,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
28860,Diagnosis,1105,"Leukocytosis, unspecified",Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
436,Diagnosis,1104,"Acute, but ill-defined, cerebrovascular disease",Diseases Of The Circulatory System,Diseases Of The Circulatory System
79389,Diagnosis,1097,Other (abnormal) findings on radiological examination of breast,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
78901,Diagnosis,1094,"Abdominal pain, right upper quadrant","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
1977,Diagnosis,1092,"Malignant neoplasm of liver, secondary",Neoplasms,Neoplasms
42823,Diagnosis,1092,Acute on chronic systolic heart failure,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V4981,Diagnosis,1090,Asymptomatic postmenopausal status (age-related) (natural),Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7243,Diagnosis,1077,Sciatica,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4659,Diagnosis,1067,Acute upper respiratory infections of unspecified site,Diseases Of The Respiratory System,Diseases Of The Respiratory System
V5721,Diagnosis,1059,Encounter for occupational therapy,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V163,Diagnosis,1053,Family history of malignant neoplasm of breast,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
73301,Diagnosis,1051,Senile osteoporosis,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V562,Diagnosis,1046,Fitting and adjustment of peritoneal dialysis catheter,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
56211,Diagnosis,1042,Diverticulitis of colon (without mention of hemorrhage),Diseases Of The Digestive System,Diseases Of The Digestive System
2760,Diagnosis,1041,Hyperosmolality and/or hypernatremia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
29590,Diagnosis,1041,"Unspecified schizophrenia, unspecified",Mental Disorders,Mental Disorders
V462,Diagnosis,1039,"Other dependence on machines, supplemental oxygen",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
1539,Diagnosis,1033,"Malignant neoplasm of colon, unspecified site",Neoplasms,Neoplasms
60001,Diagnosis,1026,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
8154,Procedure,1022,Total knee replacement,Operations on the musculoskeletal system,Procedures & Surgeries
79093,Diagnosis,1019,Elevated prostate specific antigen [PSA],"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
20280,Diagnosis,1018,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",Neoplasms,Neoplasms
E8490,Diagnosis,1015,Home accidents,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
42832,Diagnosis,1014,Chronic diastolic heart failure,Diseases Of The Circulatory System,Diseases Of The Circulatory System
71535,Diagnosis,1013,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V1259,Diagnosis,1010,Personal history of other diseases of circulatory system,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2766,Diagnosis,1009,Fluid overload disorder,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V1011,Diagnosis,1004,Personal history of malignant neoplasm of bronchus and lung,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
3970,Diagnosis,999,Diseases of tricuspid valve,Diseases Of The Circulatory System,Diseases Of The Circulatory System
70703,Diagnosis,995,"Pressure ulcer, lower back",Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
42830,Diagnosis,993,"Diastolic heart failure, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
V5632,Diagnosis,992,Encounter for adequacy testing for peritoneal dialysis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V6709,Diagnosis,990,"Follow-up examination, following other surgery",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V561,Diagnosis,990,Fitting and adjustment of extracorporeal dialysis catheter,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
42822,Diagnosis,989,Chronic systolic heart failure,Diseases Of The Circulatory System,Diseases Of The Circulatory System
5715,Diagnosis,987,Cirrhosis of liver without mention of alcohol,Diseases Of The Digestive System,Diseases Of The Digestive System
7282,Diagnosis,985,"Muscular wasting and disuse atrophy, not elsewhere classified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V4502,Diagnosis,984,Automatic implantable cardiac defibrillator in situ,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V580,Diagnosis,976,Encounter for radiotherapy,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7925,Diagnosis,970,Cloudy (hemodialysis) (peritoneal) dialysis effluent,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
4400,Diagnosis,970,Atherosclerosis of aorta,Diseases Of The Circulatory System,Diseases Of The Circulatory System
78009,Diagnosis,968,Other alteration of consciousness,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
5641,Diagnosis,965,Irritable bowel syndrome,Diseases Of The Digestive System,Diseases Of The Digestive System
5693,Diagnosis,963,Hemorrhage of rectum and anus,Diseases Of The Digestive System,Diseases Of The Digestive System
V4512,Diagnosis,956,Noncompliance with renal dialysis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7866,Diagnosis,955,"Swelling, mass, or lump in chest","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
2469,Diagnosis,954,Unspecified disorder of thyroid,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7856,Diagnosis,952,Enlargement of lymph nodes,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
49122,Diagnosis,945,Obstructive chronic bronchitis with acute bronchitis,Diseases Of The Respiratory System,Diseases Of The Respiratory System
V568,Diagnosis,943,Encounter for other dialysis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V5631,Diagnosis,939,Encounter for adequacy testing for hemodialysis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
78904,Diagnosis,938,"Abdominal pain, left lower quadrant","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
5781,Diagnosis,938,Blood in stool,Diseases Of The Digestive System,Diseases Of The Digestive System
73730,Diagnosis,931,"Scoliosis [and kyphoscoliosis], idiopathic",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71509,Diagnosis,929,"Osteoarthrosis, generalized, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
920,Diagnosis,928,"Contusion of face, scalp, and neck except eye(s)",Injury And Poisoning,"Injury, Poisoning & External Causes"
95901,Diagnosis,927,"Head injury, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
71947,Diagnosis,926,"Pain in joint, ankle and foot",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
2769,Diagnosis,926,Electrolyte and fluid disorders not elsewhere classified,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V5481,Diagnosis,914,Aftercare following joint replacement,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
3669,Diagnosis,913,Unspecified cataract,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V0382,Diagnosis,911,Other specified vaccinations against streptococcus pneumoniae [pneumococcus],Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
79092,Diagnosis,909,Abnormal coagulation profile,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V454,Diagnosis,906,Arthrodesis status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2841,Diagnosis,905,Pancytopenia,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
66,Procedure,901,Operations on fallopian tubes,Operations on the female genital organs,Procedures & Surgeries
72885,Diagnosis,898,Spasm of muscle,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V1083,Diagnosis,898,Personal history of other malignant neoplasm of skin,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
4739,Diagnosis,896,Unspecified sinusitis (chronic),Diseases Of The Respiratory System,Diseases Of The Respiratory System
0414,Diagnosis,894,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
78959,Diagnosis,892,Other ascites,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
29570,Diagnosis,890,"Schizoaffective disorder, unspecified",Mental Disorders,Mental Disorders
4292,Diagnosis,888,"Cardiovascular disease, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
7234,Diagnosis,881,Brachial neuritis or radiculitis NOS,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
61172,Diagnosis,878,Lump or mass in breast,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
78907,Diagnosis,872,"Abdominal pain, generalized","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
7821,Diagnosis,872,Rash and other nonspecific skin eruption,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
71940,Diagnosis,872,"Pain in joint, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
42833,Diagnosis,870,Acute on chronic diastolic heart failure,Diseases Of The Circulatory System,Diseases Of The Circulatory System
591,Diagnosis,868,Hydronephrosis,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
4010,Diagnosis,863,Malignant essential hypertension,Diseases Of The Circulatory System,Diseases Of The Circulatory System
